Project Number,Status,Operation Number,Reporting Currency,Product Code,Fund Code,Department Code,Division Code,Modality Code,Sector,Lending Type Code,TL PCM,Team Leader,Region,Country Code,Operation Status Sorting,Operation Status Code,External Operation,Effective Date,Ratification Date,Signature Date,Closed For Operation Date,First Eligibility Date,Final Amortization Date,Current Disbursement Expiration Date,Original Disbursement Expiration Date,Total Eligibility Date,First Disbursement Date,Totally Disbursement Date,Current Year Disb Projection,Next Year Disb Projection,Available Amount,Current Approved Amount,Disbursed Life Amount,Cancelled Amount,Undisbursed Amount,Committed Amount,Disbursed YTD,Original Approved Amount,Projected Available Amount,Title (English),Lending Instrument ID,Relation Number,Approval Date,Approval Year,Stage,Title (Spanish),PMR Classification,PMR Classification (Spanish),Executor Name,Executor Name (Spanish),Cumulative Extension (Months),Product (English),Product (Spanish),Fund (English),Fund (Spanish),Division (English),Division (Spanish),Modality (English),Modality (Spanish),Sector (English),Lending Type (English),Lending Type (Spanish),Country (English),Country (Spanish),Operation Status (English),Operation Status (Spanish),Sector (Spanish),Lending Instrument Code,Lending Instrument (English),Lending Instrument (Spanish),Department,UDR Code,UDR Full Name,UDR Full Name (Spanish)
AR-L1248,ACTIVE,3835/OC-AR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,JGOMEZREINO,"GOMEZ REINO, JUAN LUIS",CSC,AR,5,DI,Valid,2/22/2017 0:00,,2/22/2017 0:00,,4/20/2017 0:00,2/15/2042 0:00,3/22/2026 0:00,2/22/2022 0:00,4/20/2017 0:00,5/12/2017 0:00,,0,0,26388461.65,120000000,93611538.35,0,26388461.65,0,0,120000000,26388461.65,Provincial Management Strengthening Program,LON-INV,AR-L1248,12/5/2016 0:00,2016,DI,Programa de Fortalecimiento de la Gestión Provincial,Satisfactory,Satisfactorio,MINISTERIO DEL INTERIOR,MINISTERIO DEL INTERIOR,49,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,AR - Argentina,AR - Argentina,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CAR,CSC/CAR - Country Office Argentina,CSC/CAR - Representación Argentina
AR-L1285,ACTIVE,4753/OC-AR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-DES,SG,JGOMEZREINO,"GOMEZ REINO, JUAN LUIS",CSC,AR,5,DI,Valid,9/4/2019 0:00,,9/4/2019 0:00,,3/4/2020 0:00,3/15/2044 0:00,9/4/2026 0:00,9/4/2024 0:00,3/4/2020 0:00,4/12/2021 0:00,,0,110211000,110200521.5,150000000,39799478.46,0,110200521.5,0,0,150000000,110200521.5,Provincial Management Strengthening Program II,LON-INV,AR-L1285,2/28/2019 0:00,2019,DI,Programa de Fortalecimiento de la Gestión Provincial II,Problem,Problema,MINISTERIO DEL INTERIOR,MINISTERIO DEL INTERIOR,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-DES - REFORM / MODERNIZATION OF THE STATE-DECENTRALIZATION & INTERGOVERNMENTAL RELATIONS,SG - Sovereign Guaranteed,SG - SG,AR - Argentina,AR - Argentina,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-DES - REFORMA/MODERNIZACIÓN DEL ESTADO-DESCENTRALIZACIÓN Y RELACIONES INTERGUBERNAMENTALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CAR,CSC/CAR - Country Office Argentina,CSC/CAR - Representación Argentina
AR-L1405,ACTIVE,5966/OC-AR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-SUB,SG,JGOMEZREINO,"GOMEZ REINO, JUAN LUIS",CSC,AR,5,DI,Valid,2/20/2025 0:00,,2/20/2025 0:00,,8/1/2025 15:07,2/15/2049 0:00,2/20/2031 0:00,2/20/2031 0:00,8/1/2025 15:07,9/22/2025 0:00,,10700000,0,59940000,60000000,60000,0,59940000,0,0,60000000,59940000,Federal Fiscal Management Strengthening Program,LON-INV,AR-L1405,12/6/2024 0:00,2024,DI,Programa de Fortalecimiento de la Gestión Fiscal Federal,Satisfactory,Satisfactorio,MINISTERIO DE ECONOMIA,MINISTERIO DE ECONOMIA,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-SUB - REFORM / MODERNIZATION OF THE STATE-SUBNATIONAL AND LOCAL GOVERNMENTS,SG - Sovereign Guaranteed,SG - SG,AR - Argentina,AR - Argentina,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-SUB - REFORMA/MODERNIZACIÓN DEL ESTADO-GOBIERNOS SUBNACIONALES Y LOCALES,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CAR,CSC/CAR - Country Office Argentina,CSC/CAR - Representación Argentina
BL-L1031,ACTIVE,4839/OC-BL,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-REA,SG,JESSICACH,"CHAMORRO MONTES, JESSICA ANDREA DEL CARME",CID,BL,5,DI,Valid,11/1/2019 0:00,,11/1/2019 0:00,,4/17/2020 0:00,10/15/2044 0:00,11/1/2026 0:00,11/1/2024 0:00,4/17/2020 0:00,6/2/2020 0:00,,738000,0,737666,14000000,13262334,0,737666,0,0,14000000,737666,Strengthening of Tax Administration,LON-INV,BL-L1031,7/30/2019 0:00,2019,DI,Fortalecimiento de la Administración Tributaria,Satisfactory,Satisfactorio,"MINISTRY OF FINANCE, INVESTMENT AND ECONOMIC TRANSFORMATION, ","MINISTRY OF FINANCE, INVESTMENT AND ECONOMIC TRANSFORMATION, ",24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-REA - REFORM / MODERNIZATION OF THE STATE-REVENUE ADMINISTRATION,SG - Sovereign Guaranteed,SG - SG,BL - Belize,BL - Belice,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-REA - REFORMA/MODERNIZACIÓN DEL ESTADO-ADMINISTRACIÓN DE INGRESOS,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CID/CBL,CID/CBL - Country Office Belize,CID/CBL - Representación Belice
BL-L1038,ACTIVE,5353/OC-BL,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,JESSICACH,"CHAMORRO MONTES, JESSICA ANDREA DEL CARME",CID,BL,5,DI,Valid,5/27/2022 0:00,,5/27/2022 0:00,,11/26/2022 17:24,5/15/2047 0:00,5/27/2027 0:00,5/27/2027 0:00,11/26/2022 17:24,12/19/2022 0:00,,1200000,1100000,4670525,8000000,3329475,0,4670525,0,0,8000000,4670525,Strengthening Public Expenditure Management in Belize,LON-INV,BL-L1038,9/29/2021 0:00,2021,DI,Fortalecimiento de la Gestión del Gasto Público en Belice,Satisfactory,Satisfactorio,"MINISTRY OF FINANCE, INVESTMENT AND ECONOMIC TRANSFORMATION, ","MINISTRY OF FINANCE, INVESTMENT AND ECONOMIC TRANSFORMATION, ",0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BL - Belize,BL - Belice,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CID/CBL,CID/CBL - Country Office Belize,CID/CBL - Representación Belice
BR-L1377,ACTIVE,3391/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,5,DI,Valid,12/28/2017 0:00,,12/28/2017 0:00,,5/18/2018 0:00,12/15/2041 0:00,12/28/2025 0:00,12/28/2023 0:00,5/18/2018 0:00,7/11/2018 0:00,,0,0,232088.08,148309125.4,148077037.3,1690874.58,232088.08,0,-232088.08,150000000,232088.08,National Prog. to Support the Adm and Fiscal Manag Brazilian MunicipiosPNAFM III,LON-INV,BR-L1377,12/15/2014 0:00,2014,DI,Prog. Nacional de Apoyo a la Gestión Adm y Fiscal Municipios Brasileños PNAFMIII,Satisfactory,Satisfactorio,MINISTERIO DA FAZENDA,MINISTERIO DA FAZENDA,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1501,ACTIVE,4554/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,5,DI,Valid,9/30/2019 0:00,,9/30/2019 0:00,,11/22/2019 0:00,5/15/2044 0:00,9/30/2026 0:00,9/30/2024 0:00,11/22/2019 0:00,12/3/2019 0:00,,4029000,0,4028507.29,37000000,32971492.71,0,4028507.29,0,0,37000000,4028507.29,Fiscal Management Enhancement Project for the State of Pernambuco – PROFISCO II-PE,LON-INV,BR-L1501,6/28/2018 0:00,2018,DI,Proyecto de Mejora de la Gestión Fiscal del Estado de Pernambuco – PROFISCO II-PE,Satisfactory,Satisfactorio,SECRETARIA DA FAZENDA DO ESTADO DE PERNAMBUCO ,SECRETARIA DA FAZENDA DO ESTADO DE PERNAMBUCO ,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1511,ACTIVE,4597/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,RMOTTACAFE,"MOTTA CAFE, RENATA",CSC,BR,7,CO,Valid,9/16/2019 0:00,,9/16/2019 0:00,3/13/2026 15:53,11/27/2019 0:00,8/15/2044 0:00,12/16/2025 0:00,9/16/2024 0:00,11/27/2019 0:00,3/23/2020 0:00,5/22/2025 0:00,0,0,0,47700000,47700000,0,0,0,0,47700000,0,Fiscal Management Enhancement Project for the State of Mato Grosso do Sul – PROFISCO II-MS,LON-INV,BR-L1511,8/30/2018 0:00,2018,COAFR,Proyecto de Modernización de la Gestión Fiscal del Estado de Mato Grosso do Sul – PROFISCO II-MS,Satisfactory,Satisfactorio,SECRETARÍA DE ESTADO DA FAZENDA,SECRETARÍA DE ESTADO DA FAZENDA,15,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,CO - CLOSED BY OPERATIONS--NO MORE DISBURSEMENT PROCESSING WILL BE DONE.,CO - CERRADO POR OPERACIONES--NO SE REALIZARÁ MÁS DESEMBOLSO,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1513,ACTIVE,5752/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM-FIS,SG,ANDREMA,"MARTINEZ FRITSCHER, ANDRE CARLOS",CSC,BR,5,DI,Valid,12/27/2023 0:00,,12/27/2023 0:00,,6/19/2024 12:31,3/15/2048 0:00,12/27/2028 0:00,12/27/2028 0:00,6/19/2024 12:31,8/20/2024 0:00,,8399550,15000000,40361582.31,50000000,9638417.69,0,40361582.31,0,0,50000000,40361582.31,Fiscal Management Modernization Project for the State of Santa Catarina – PROFISCO II SC,LON-INV,BR-L1513,5/24/2023 0:00,2023,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de Santa Catarina - PROFISCO II SC,Satisfactory,Satisfactorio,SECRETARIA DE ESTADO DE FAZENDA DE SANTA CATARINA ,SECRETARIA DE ESTADO DE FAZENDA DE SANTA CATARINA ,0,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM-FIS - REFORM / MODERNIZATION OF THE STATE-FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM-FIS - REFORMA/MODERNIZACIÓN DEL ESTADO-POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
BR-L1516,ACTIVE,4706/OC-BR,USD,LON,ORC,IFD,IFD/FMM,ESP,RM,SG,MMACDOWELL,MARIA CRISTINA MAC DOWELL,CSC,BR,5,DI,Valid,11/21/2019 0:00,,11/21/2019 0:00,,3/30/2020 0:00,7/15/2044 0:00,11/21/2026 0:00,11/21/2024 0:00,3/30/2020 0:00,6/24/2020 0:00,,12487000,6000000,12487460.96,87120000,74632539.04,0,12487460.96,0,6000000,87120000,12487460.96,Fiscal Management Modernization Project for the State of São Paulo - PROFISCO II SP,LON-INV,BR-L1516,12/6/2018 0:00,2018,DI,Proyecto de Modernización de la Gestión Fiscal del Estado de São Paulo - PROFISCO II SP,Satisfactory,Satisfactorio,SECRETARIA DA FAZENDA DO ESTADO DE SAO PAULO ,SECRETARIA DA FAZENDA DO ESTADO DE SAO PAULO ,24,LON - Loan Operation,LON - Operación de Préstamo,ORC - Ordinary Capital,ORC - Ordinary Capital,IFD/FMM - Fiscal Management Division,IFD/FMM - Not defined,ESP - ESP (Specific Investment Operation),ESP - ESP (Operación de inversión específica),RM - REFORM / MODERNIZATION OF THE STATE,SG - Sovereign Guaranteed,SG - SG,BR - Brazil,BR - Brasil,DI - DISBURSING - FIRST DISBURSEMENT HAS OCCURRED AND THERE ARE FUNDS REMAINING TO BE,DI - DESEMBOLSANDO: EL PRIMER DESEMBOLSO HA OCURRIDO Y HAY FONDOS POR DESEMBOLSAR,RM - REFORMA/MODERNIZACIÓN DEL ESTADO,INV,INV - Investment Loan,INV - Préstamo de Inversión,IFD - Institutions for Development,CSC/CBR,CSC/CBR - Country Office Brazil,CSC/CBR - Representación Brasil
