perf_id,cycle_id,cycle_nm,oper_id,oper_num,clssfctn_cd,clssfctn_nm_engl,clssfctn_nm_spanish,clssfctn_nm_portuguese,clssfctn_nm_french,valdtn_dt,valdtn_stg_cd,valdtn_stg_nm_engl,valdtn_stg_nm_spanish,valdtn_stg_nm_portuguese,valdtn_stg_nm_french,pmi_stg_cd,pmi_stg_nm_engl,pmi_stg_nm_spanish,pmi_stg_nm_portuguese,pmi_stg_nm_french,cpi_val,annl_cpi_val,spi_val,annl_spi_val,pv_val,ac_val,ev_val,pva_val,eva_val,spec_cl_val,appr_eff_val,outp_budg_val,outp_time_eop_val,norm_cl_val,vis_ind_val,accum_disb_val,outp_time_val,outp_wavg_eop_val,add_exec_val,dclass_val,disb95_val,outp_wavg_val,outp_avg_eop_val,outp_achiv_eop_val,synt_ind_val,eff_elig_val,outp_avg_val,outp_achiv_val,outp_budg_eop_val,num_of_mths,pmi_val_yr,is_closed,d_clssfctn_cd,cpi_clssfctn_cd,acpi_clssfctn_cd,spi_clssfctn_cd,aspi_clssfctn_cd,accum_disb_clssfctn,dw_crte_ts,dw_updt_ts,appr_eff_deadline_val,ext_days_eff_val,eff_deadline_val,eff_elig_deadline_val,ext_days_elig_val,elig_deadline_val
106996,26,Second period Jan-Dec 2017,49199,AR-L1248,SATISFACTORY,Satisfactory,Satisfactorio,Satisfat�rio,Satisfactory,5/2/2018 14:10,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.94,0.94,0.84,0.84,8675000,7803108,7301941,8675000,7301941,,79,0.18,0.22,100,,0.13,0.22,0.02,10.91,3,0,0.02,0,0.11,3,57,0,0.06,0.18,12,2017,1,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,6/19/2018 13:47,8/4/2025 21:43,,,,,,
68551,28,First period Jan-Jun 2018,49199,AR-L1248,,,,,,5/2/2018 14:10,PMI_COO,Validated by Chief of Operations,Validado por los Jefes de Operaciones,Validado pelo(a) Chefe de Opera��es,Valid� par le Chef des op�rations,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.82,2.96,0.14,0.69,51075000,8832074,7200000,38058221,26122247,,79,0.18,0.29,100,,0.13,0.29,0.02,353.44,1,0,0.02,0,0.11,1.95,57,0,0.06,0.18,18,2018,1,PROBLEM,SATISFACTORY,OUTLIER,PROBLEM,ALERT,SATISFACTORY,10/26/2018 10:03,8/4/2025 21:43,,,,,,
68551,50,Second period Jan-Dec 2024,49199,AR-L1248,SATISFACTORY,Satisfactory,Satisfactorio,Satisfat�rio,Satisfactory,5/14/2025 10:27,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.98,1.11,0.72,1,138800000,102081726,99765833.33,113421965,113085959.6,,79,0.5,0.94,100,,0.74,0.94,0.39,39.52,3,0,0.36,0.29,1,2.75,57,0.29,0.6,0.5,92,2024,1,SATISFACTORY,SATISFACTORY,SATISFACTORY,ALERT,SATISFACTORY,ALERT,6/30/2025 13:51,8/4/2025 21:43,79,0,90,57,0,180
68551,38,Second period Jan-Dec 2021,49199,AR-L1248,SATISFACTORY,Satisfactory,Satisfactorio,Satisfat�rio,Satisfactory,5/4/2022 14:23,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,1.01,1.06,0.46,0.94,138800000,63532547,64131166.67,71334868,67061558,,79,0.5,0.72,100,,0.49,0.72,0.25,95.47,3,0,0.23,0.18,1,2.65,57,0.18,0.49,0.5,56,2021,1,SATISFACTORY,SATISFACTORY,SATISFACTORY,ALERT,SATISFACTORY,PROBLEM,8/19/2022 18:18,8/4/2025 21:43,79,0,90,57,0,180
68551,32,Second period Jan-Dec 2019,49199,AR-L1248,ALERT,Alert,Alerta,Alerta,Alert,4/23/2020 11:21,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.58,1.69,0.12,0.85,136300000,28235049,16305000,56433122,47814740.21,,79,0.5,0.64,100,,0.2,0.64,0.06,426.85,2,0,0.06,0.04,0.4,2.35,57,0.04,0.2,0.5,32,2019,1,ALERT,ALERT,SATISFACTORY,PROBLEM,SATISFACTORY,PROBLEM,7/22/2020 17:42,8/4/2025 21:43,79,0,90,57,0,180
68551,34,First period Jan-Jun 2020,49199,AR-L1248,PROBLEM,Problem,Problema,Problema,Problem,10/7/2020 17:26,PMI_COO,Validated by Chief of Operations,Validado por los Jefes de Operaciones,Validado pelo(a) Chefe de Opera��es,Valid� par le Chef des op�rations,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.49,0.61,0.13,0.48,138800000,38093043,18610833.33,48652575,23112122.78,,79,0.5,0.76,100,,0.33,0.76,0.07,374.57,1,0,0.07,0.06,0.4,1.75,57,0.06,0.2,0.5,38,2020,1,PROBLEM,ALERT,ALERT,PROBLEM,ALERT,PROBLEM,12/18/2020 23:49,8/4/2025 21:43,79,0,90,57,0,180
81364,23,Second period Jan-Dec 2016,49199,AR-L1248,SATISFACTORY,Satisfactory,Satisfactorio,Satisfat�rio,Satisfactory,4/20/2017 10:38,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE1,From Approval to Eligibility,Desde la Aprobaci�n hasta la Elegibilidad,Da Aprova��o at� Elegibilidade,From Approval to Eligibility,,,,,,,,,,,26,0,0,0,,,0,0,0,3,0,0,0,,-1,0,0,,0,,,1,SATISFACTORY,,,,,,6/19/2018 13:40,8/4/2025 21:43,,,,,,
147636,31,First period Jan-Jun 2019,49199,AR-L1248,,,,,,4/25/2019 15:26,PMI_COO,Validated by Chief of Operations,Validado por los Jefes de Operaciones,Validado pelo(a) Chefe de Opera��es,Valid� par le Chef des op�rations,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.6,1.73,0.07,0.48,136300000,15573255,9296666.67,56433122,26996663.7,,79,0.49,0.55,100,,0.19,0.55,0.04,792.35,2,0,0.03,0.02,0.4,2.05,57,0.02,0.2,0.49,26,2019,1,ALERT,ALERT,SATISFACTORY,PROBLEM,ALERT,ALERT,1/28/2020 12:14,8/4/2025 21:43,79,0,90,57,0,180
68551,45,Second period Jan-Dec 2023,49199,AR-L1248,SATISFACTORY,Satisfactory,Satisfactorio,Satisfat�rio,Satisfactory,5/15/2024 9:51,PMI_CR,Validated by Representative,Validada por el Representante de Pa�s,Validado pelo(a) Representante do Pa�s,Valid� par le Repr�sentant de pays,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,0.91,1.05,0.62,0.83,138800000,93965745,85785833.33,119242363,98413059.55,,79,0.5,0.91,100,,0.74,0.91,0.32,56.85,3,0,0.31,0.24,1,2.75,57,0.24,0.55,0.5,80,2023,1,SATISFACTORY,SATISFACTORY,SATISFACTORY,ALERT,SATISFACTORY,ALERT,5/29/2024 0:41,8/4/2025 21:43,79,0,90,57,0,180
68551,25,First period Jan-Jun 2017,49199,AR-L1248,,,,,,4/20/2017 10:38,PMI_COO,Validated by Chief of Operations,Validado por los Jefes de Operaciones,Validado pelo(a) Chefe de Opera��es,Valid� par le Chef des op�rations,STAGE2,After Eligibility,Despu�s de la Elegibilidad,Ap�s a Elegibilidade,After Eligibility,,,,,,,,,,,79,0.03,0.1,100,,0.05,0.1,0.01,178.22,2,0,0.01,0,0,2.2,57,0,0,0.03,6,,1,ALERT,,,,,SATISFACTORY,12/18/2017 17:10,8/4/2025 21:43,,,,,,
