yr,mth,projection_cycle,project_number,project_engl_nm,project_spanish_nm,operation_number,country_cd,country_engl_nm,country_spanish_nm,region,project_type_cd,project_type_engl_nm,project_type_spanish_nm,responsible_unit,responsible_unit_nm,department_cd,vp_org_unit_cd,pipe_year,sector_cd,sector_engl_nm,sector_spanish_nm,lending_type_cd,lending_type_engl_nm,lending_type_spanish_nm,lending_instrument_cd,lending_instrument_engl_nm,lending_instrument_spanish_nm,modality_cd,modality_engl_nm,modality_spanish_nm,taxonomy_cd,taxonomy_engl_nm,taxonomy_spanish_nm,financial_instrument_cd,financial_instrument_engl_nm,project_status_cd,project_status_engl_nm,project_status_spanish_nm,project_execution_status,project_execution_status_engl_nm,project_execution_status_spanish_nm,project_phase_cd,project_phase_engl_nm,project_phase_spanish_nm,project_stage_cd,project_stage_engl_nm,project_stage_spanish_nm,approval_year,transaction_year,transaction_month,transaction_date,approved_crncy_cd,approved_crncy_engl_nm,approved_crncy_spanish_nm,reporting_crncy_cd,reporting_crncy_engl_nm,reporting_crncy_spanish_nm,fund_cd,fund_engl_nm,fund_spanish_nm,projection_amnt_apprvd_crncy,projection_amnt_rpt_crncy,projection_amnt_useq,baseline_projection_amnt_apprvd_crncy,baseline_projection_amnt_rpt_crncy,baseline_projection_amnt_useq,disbursed_amnt_apprvd_crncy,disbursed_amnt_rpt_crncy,disbursed_amnt_useq,disbursed_ytd_amnt_apprvd_crncy,disbursed_ytd_amnt_rpt_crncy,disbursed_ytd_amnt_useq,is_projection,is_agreed_projection,convrgnc_disb_proj_id,dw_crte_ts,dw_updt_ts,udr_cd,idb_country_cd,parnt_operation_number,fin_processing,sub_loans_exist
2023,2,202302,BR-L1539,Fiscal Management Modernization Project for the State of Mato Grosso - PROFISCO II - MT,Proyecto de Modernización de la Gestión Fiscal del Estado de Mato Grosso - PROFISCO II-MT,5393/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2021,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,APPLA,Approved/Pending prior Legislative Approval,Aprobado/Pendiente Aprobación Legislativa Previa,2021,2026,11,11/30/2026 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,150007,3/1/2023 11:32,3/1/2023 11:32,CSC/CBR,BR,,Y,N
2023,2,202302,BR-L1533,Fiscal Management Modernization Project for the State of Bahia – PROFISCO II – BA,Proyecto de Modernización de la Gestión Fiscal del Estado de Bahia ― PROFISCO II - BA,4970/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2020,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2020,2025,10,10/31/2025 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,129733,3/1/2023 11:32,3/1/2023 11:32,CSC/CBR,BR,,Y,N
2024,2,202402,BR-L1533,Fiscal Management Modernization Project for the State of Bahia – PROFISCO II – BA,Proyecto de Modernización de la Gestión Fiscal del Estado de Bahia ― PROFISCO II - BA,4970/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2020,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2020,2027,3,3/31/2027 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,129750,3/1/2024 10:05,3/1/2024 10:05,CSC/CBR,BR,,Y,N
2024,2,202402,BR-L1539,Fiscal Management Modernization Project for the State of Mato Grosso - PROFISCO II - MT,Proyecto de Modernización de la Gestión Fiscal del Estado de Mato Grosso - PROFISCO II-MT,5393/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2021,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2021,2024,4,4/30/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,2000000,2000000,2000000,0,0,0,0,0,0,Y,Y,53576,3/1/2024 10:05,3/1/2024 10:05,CSC/CBR,BR,,Y,N
2024,2,202402,BR-L1539,Fiscal Management Modernization Project for the State of Mato Grosso - PROFISCO II - MT,Proyecto de Modernización de la Gestión Fiscal del Estado de Mato Grosso - PROFISCO II-MT,5393/OC-BR,BR,Brazil,Brasil,CSC,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2021,RM-FIS,FISCAL POLICY FOR SUSTAINABILITY AND GROWTH,POLÍTICA FISCAL PARA LA SOSTENIBILIDAD Y EL CRECIMIENTO,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2021,2027,6,6/30/2027 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,176808,3/1/2024 10:05,3/1/2024 10:05,CSC/CBR,BR,,Y,N
2019,2,201902,CO-L1164,Strengthening Multipurpose Cadastral Management Program,Programa de Fortalecimiento de la Gestión Catastral Multipropósito,ZZZ,CO,Colombia,Colombia,CAN,LON,Loan,Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-SUB,SUBNATIONAL AND LOCAL GOVERNMENTS,GOBIERNOS SUBNACIONALES Y LOCALES,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP,N/A,Not Applicable,Not Applicable,ZZZ,Undefined,ACTIVE,ACTIVE,ACTIVO,ZZZ,Undefined,Undefined,PREP_PH,Preparation,Preparation,DLP,DLP Approved,DLP Aprobado,9999,2021,7,7/31/2021 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,TBD,TO BE DETERMINED,A DETERMINAR,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,28427,7/10/2019 20:51,7/10/2019 20:51,ZZZ,CO,,,
2021,3,202103,CO-L1164,Program for the Adoption and Implementation of a Rural-Urban Multipurpose Cadastre,Programa para la Adopción e Implementación de un Catastro Multipropósito rural-urbano,4856/OC-CO,CO,Colombia,Colombia,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-SUB,SUBNATIONAL AND LOCAL GOVERNMENTS,GOBIERNOS SUBNACIONALES Y LOCALES,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2025,2,2/28/2025 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,47867,3/15/2021 18:17,3/15/2021 18:17,CAN/CCO,CO,,,
2023,2,202302,CO-L1164,Program for the Adoption and Implementation of a Rural-Urban Multipurpose Cadastre,Programa para la Adopción e Implementación de un Catastro Multipropósito rural-urbano,4856/OC-CO,CO,Colombia,Colombia,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-SUB,SUBNATIONAL AND LOCAL GOVERNMENTS,GOBIERNOS SUBNACIONALES Y LOCALES,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2024,3,3/31/2024 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,6807000,6807000,6807000,0,0,0,0,0,0,Y,Y,47856,3/1/2023 11:32,3/1/2023 11:32,CAN/CCO,CO,,Y,Y
2023,2,202302,CO-L1164,Program for the Adoption and Implementation of a Rural-Urban Multipurpose Cadastre,Programa para la Adopción e Implementación de un Catastro Multipropósito rural-urbano,4856/OC-CO,CO,Colombia,Colombia,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-SUB,SUBNATIONAL AND LOCAL GOVERNMENTS,GOBIERNOS SUBNACIONALES Y LOCALES,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2025,6,6/30/2025 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,47871,3/1/2023 11:32,3/1/2023 11:32,CAN/CCO,CO,,Y,Y
2023,2,202302,CO-L1164,Program for the Adoption and Implementation of a Rural-Urban Multipurpose Cadastre,Programa para la Adopción e Implementación de un Catastro Multipropósito rural-urbano,4856/OC-CO-1,CO,Colombia,Colombia,CAN,LON,Loan Operation,Operación de Préstamo,IFD/FMM,Fiscal Management,IFD,VPS,2019,RM-SUB,SUBNATIONAL AND LOCAL GOVERNMENTS,GOBIERNOS SUBNACIONALES Y LOCALES,SG,Sovereign Guaranteed,SG,INV,Investment Loan,Préstamo de Inversión,ESP,ESP (Specific Investment Operation),ESP (Operación de inversión específica),N/A,Not Applicable,Not Applicable,FFF,Flexible Financing Facility,ACTIVE,ACTIVE,ACTIVO,A,ACTIVE,ACTIVO,EXEC_PH,Execution,Execution,DI,Disbursing (From eligibility until all the Operations are closed),Desembolso (De la elegibilidad hasta que todas las operaciones estén cerradas),2019,2025,9,9/30/2025 0:00,USD,United States Dollar,Dólar americano,USD,United States Dollar,Dólar americano,ORC,Ordinary Capital,,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,76836,3/1/2023 11:32,3/1/2023 11:32,CAN/CCO,CO,4856/OC-CO,N,N
